first_name,last_name,salary,age,doj,manager_name,employee_id,dob,dept_id
Mickey,Mouse,10000,21,2023-06-30,Sponge,101,2002-01-01,1
Minnie,Pink,20000,22,2023-05-31,Bob,102,2001-01-01,2
Donald,Duck,30000,23,2023-05-01,Square,103,2000-02-02,3
Daisy,Yellow,40000,24,2023-04-01,Pants,104,1999-03-03,4
Goofy,Dog,50000,25,2023-03-02,Patrick,105,1998-04-04,5
Pete,Cat,60000,26,2023-01-31,Star,106,1997-05-05,6
Pluto,White,70000,27,2023-01-01,Squid,107,1996-06-06,7
Huey,Red,80000,28,2022-12-02,Ward,108,1995-07-07,8
Dewey,Black,90000,29,2022-11-02,Eugene,109,1994-08-08,9
Louise,Brown,100000,30,2022-10-03,Gary,110,1993-09-09,10
Mickey,Mouse,10000,31,2022-09-03,Sponge,111,1992-10-10,1
Minnie,Pink,20000,32,2022-08-04,Bob,112,1991-11-11,2
Donald,Duck,30000,33,2022-07-05,Square,113,1990-01-12,3
Daisy,Yellow,40000,34,2022-06-05,Pants,114,1989-01-13,4
Goofy,Dog,50000,35,2022-05-06,Patrick,115,1988-02-14,5
Pete,Cat,60000,36,2022-04-06,Star,116,1987-03-15,6
Pluto,White,70000,37,2022-03-07,Squid,117,1986-04-16,7
Huey,Red,80000,38,2022-02-05,Ward,118,1985-05-17,8
Dewey,Black,90000,39,2022-01-06,Eugene,119,1984-06-18,9
Louise,Brown,100000,40,2021-12-07,Gary,120,1983-07-19,10
Mickey,Mouse,10000,41,2021-11-07,Sponge,121,1982-08-20,1
Minnie,Pink,20000,42,2021-10-08,Bob,122,1981-09-21,2
Donald,Duck,30000,43,2021-09-08,Square,123,1980-10-22,3
Daisy,Yellow,40000,44,2021-08-09,Pants,124,1979-11-23,4
Goofy,Dog,50000,45,2021-07-10,Patrick,125,1978-01-24,5
Pete,Cat,60000,46,2021-06-10,Star,126,1977-01-25,6
Pluto,White,70000,47,2021-05-11,Squid,127,1976-02-26,7
Huey,Red,80000,48,2021-04-11,Ward,128,1975-03-27,8
Dewey,Black,90000,49,2021-03-12,Eugene,129,1974-04-28,9
Louise,Brown,100000,50,2021-02-10,Gary,130,1973-05-29,10
Mickey,Mouse,10000,51,2021-01-11,Sponge,131,1972-06-30,1
Minnie,Pink,20000,52,2020-12-12,Bob,132,1971-07-01,2
Donald,Duck,30000,53,2020-11-12,Square,133,1970-08-01,3
Daisy,Yellow,40000,54,2020-10-13,Pants,134,1969-09-02,4
Goofy,Dog,50000,55,2020-09-13,Patrick,135,1968-10-03,5
Pete,Cat,60000,56,2020-08-14,Star,136,1967-11-04,6
Pluto,White,70000,57,2020-07-15,Squid,137,1966-01-05,7
Huey,Red,80000,58,2020-06-15,Ward,138,1965-01-06,8
Dewey,Black,90000,59,2020-05-16,Eugene,139,1964-02-07,9
Louise,Brown,100000,60,2020-04-16,Gary,140,1963-03-08,10
Mickey,Mouse,10000,21,2023-06-27,Sponge,141,2002-04-09,1
Minnie,Pink,20000,22,2023-06-27,Bob,142,2001-05-10,2
Donald,Duck,30000,23,2023-06-27,Square,143,2000-06-11,3
Daisy,Yellow,40000,24,2023-06-27,Pants,144,1999-07-12,4
Goofy,Dog,50000,25,2019-11-18,Patrick,145,1998-08-13,5
Pete,Cat,60000,26,2019-10-19,Star,146,1997-09-14,6
Pluto,White,70000,27,2019-09-19,Squid,147,1996-10-15,7
Huey,Red,80000,28,2019-08-20,Ward,148,1995-11-16,8
Dewey,Black,90000,29,2019-07-21,Eugene,149,1994-01-17,9
Louise,Brown,100000,30,2019-06-21,Gary,150,1993-01-18,10
Mickey,Mouse,10000,31,2019-05-22,Sponge,151,1992-02-19,1
Minnie,Pink,20000,32,2019-04-22,Bob,152,1991-03-20,2
Donald,Duck,30000,33,2019-03-23,Square,153,1990-04-21,3
Daisy,Yellow,40000,34,2019-02-21,Pants,154,1989-05-22,4
Goofy,Dog,50000,35,2019-01-22,Patrick,155,1988-06-23,5
Pete,Cat,60000,36,2018-12-23,Star,156,1987-07-24,6
Pluto,White,70000,37,2018-11-23,Squid,157,1986-08-25,7
Huey,Red,80000,38,2018-10-24,Ward,158,1985-09-26,8
Dewey,Black,90000,39,2018-09-24,Eugene,159,1984-10-27,9
Louise,Brown,100000,40,2018-08-25,Gary,160,1983-11-28,10
Mickey,Mouse,10000,41,2018-07-26,Sponge,161,1982-01-29,1
Minnie,Pink,20000,42,2018-06-26,Bob,162,1981-01-30,2
Donald,Duck,30000,43,2018-05-27,Square,163,1980-02-01,3
Daisy,Yellow,40000,44,2018-04-27,Pants,164,1979-03-01,4
Goofy,Dog,50000,45,2018-03-28,Patrick,165,1978-04-02,5
Pete,Cat,60000,46,2018-02-26,Star,166,1977-05-03,6
Pluto,White,70000,47,2018-01-27,Squid,167,1976-06-04,7
